Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Datetime,,,,,,
2026-02-17 14:30:00+00:00,6821.830078125,6821.830078125,6826.4501953125,6816.10986328125,6819.85986328125,0
2026-02-17 14:31:00+00:00,6832.22998046875,6832.22998046875,6834.2099609375,6820.43994140625,6821.6201171875,18459868
2026-02-17 14:32:00+00:00,6823.14990234375,6823.14990234375,6833.08984375,6823.0498046875,6831.25,15939761
2026-02-17 14:33:00+00:00,6826.2900390625,6826.2900390625,6828.31005859375,6823.3798828125,6823.3798828125,14364311
2026-02-17 14:34:00+00:00,6834.64990234375,6834.64990234375,6837.7001953125,6826.18994140625,6826.31982421875,13940049
2026-02-17 14:35:00+00:00,6836.4599609375,6836.4599609375,6837.06005859375,6832.22021484375,6834.5498046875,13990674
2026-02-17 14:36:00+00:00,6838.97021484375,6838.97021484375,6839.85009765625,6835.52978515625,6836.56005859375,11810539
2026-02-17 14:37:00+00:00,6843.2099609375,6843.2099609375,6843.2099609375,6838.18017578125,6838.9599609375,10419307
2026-02-17 14:38:00+00:00,6837.08984375,6837.08984375,6843.080078125,6837.0400390625,6843.080078125,10755227
2026-02-17 14:39:00+00:00,6843.3701171875,6843.3701171875,6845.240234375,6836.16015625,6836.75,11005742
2026-02-17 14:40:00+00:00,6842.419921875,6842.419921875,6844.7001953125,6839.83984375,6842.990234375,11028891
2026-02-17 14:41:00+00:00,6839.22021484375,6839.22021484375,6844.759765625,6839.14990234375,6842.75,10372220
2026-02-17 14:42:00+00:00,6832.830078125,6832.830078125,6841.990234375,6832.830078125,6839.06982421875,10148416
2026-02-17 14:43:00+00:00,6827.83984375,6827.83984375,6835.7001953125,6827.83984375,6832.85009765625,10361925
2026-02-17 14:44:00+00:00,6824.3798828125,6824.3798828125,6828.39990234375,6821.81982421875,6828.18017578125,10419117
2026-02-17 14:45:00+00:00,6818.1201171875,6818.1201171875,6825.14013671875,6818.1201171875,6824.4599609375,13837097
2026-02-17 14:46:00+00:00,6823.47998046875,6823.47998046875,6829.35009765625,6818.02978515625,6818.580078125,14196102
2026-02-17 14:47:00+00:00,6814.75,6814.75,6824.39990234375,6814.64990234375,6823.66015625,12333980
2026-02-17 14:48:00+00:00,6818.97021484375,6818.97021484375,6822.47021484375,6814.81005859375,6814.81005859375,10889051
2026-02-17 14:49:00+00:00,6819.759765625,6819.759765625,6820.27001953125,6814.89990234375,6819.4501953125,9737277
2026-02-17 14:50:00+00:00,6802.2998046875,6802.2998046875,6822.33984375,6801.33984375,6820.14013671875,15289453
2026-02-17 14:51:00+00:00,6803.080078125,6803.080078125,6804.27978515625,6799.7001953125,6802.14990234375,10295874
2026-02-17 14:52:00+00:00,6802.39013671875,6802.39013671875,6805.35986328125,6802.14013671875,6802.56005859375,7885670
2026-02-17 14:53:00+00:00,6793.75,6793.75,6802.52978515625,6793.68017578125,6802.18994140625,9823998
2026-02-17 14:54:00+00:00,6794.9501953125,6794.9501953125,6796.75,6793.990234375,6793.990234375,8829502
2026-02-17 14:55:00+00:00,6789.8798828125,6789.8798828125,6795.509765625,6788.97021484375,6795.1298828125,9809261
2026-02-17 14:56:00+00:00,6791.35009765625,6791.35009765625,6793.02001953125,6788.02001953125,6790.02001953125,10900038
2026-02-17 14:57:00+00:00,6791.5400390625,6791.5400390625,6796.14990234375,6791.06005859375,6791.1298828125,10008598
2026-02-17 14:58:00+00:00,6787.2001953125,6787.2001953125,6792.0400390625,6787.02001953125,6792.0400390625,9033018
2026-02-17 14:59:00+00:00,6783.8798828125,6783.8798828125,6787.18017578125,6783.330078125,6787.18017578125,9184333
2026-02-17 15:00:00+00:00,6785.0498046875,6785.0498046875,6785.3798828125,6780.47998046875,6783.56005859375,11145582
2026-02-17 15:01:00+00:00,6791.60986328125,6791.60986328125,6792.85986328125,6784.72998046875,6785.43994140625,10172304
2026-02-17 15:02:00+00:00,6789.39013671875,6789.39013671875,6794.08984375,6788.56005859375,6791.66015625,9123166
2026-02-17 15:03:00+00:00,6798.31005859375,6798.31005859375,6798.39990234375,6789.43017578125,6789.43017578125,8911302
2026-02-17 15:04:00+00:00,6799.52978515625,6799.52978515625,6799.52978515625,6796.2099609375,6798.14013671875,7281031
2026-02-17 15:05:00+00:00,6800.6298828125,6800.6298828125,6802.52978515625,6798.47998046875,6799.3798828125,9193360
2026-02-17 15:06:00+00:00,6795.06982421875,6795.06982421875,6802.35986328125,6793.009765625,6800.66015625,8557135
2026-02-17 15:07:00+00:00,6792.52978515625,6792.52978515625,6795.10986328125,6791.60009765625,6795.02978515625,7245562
2026-02-17 15:08:00+00:00,6796.0498046875,6796.0498046875,6796.7099609375,6792.31005859375,6793.06005859375,8005081
2026-02-17 15:09:00+00:00,6792.02978515625,6792.02978515625,6796.06982421875,6791.56982421875,6796.06982421875,6947349
2026-02-17 15:10:00+00:00,6793.7099609375,6793.7099609375,6796.85986328125,6792.02001953125,6792.02001953125,7765093
2026-02-17 15:11:00+00:00,6786.06005859375,6786.06005859375,6793.3798828125,6786.06005859375,6793.22021484375,8532518
2026-02-17 15:12:00+00:00,6790.2001953125,6790.2001953125,6792.56005859375,6784.4501953125,6784.91015625,9441602
2026-02-17 15:13:00+00:00,6787.5,6787.5,6790.7900390625,6785.9599609375,6790.31982421875,8707687
2026-02-17 15:14:00+00:00,6787.58984375,6787.58984375,6790.39013671875,6787.02001953125,6788.14990234375,9131626
2026-02-17 15:15:00+00:00,6788.7998046875,6788.7998046875,6788.97021484375,6786.64990234375,6787.60986328125,7835271
2026-02-17 15:16:00+00:00,6799.52978515625,6799.52978515625,6799.6298828125,6788.580078125,6788.580078125,10270699
2026-02-17 15:17:00+00:00,6800.419921875,6800.419921875,6800.830078125,6798.830078125,6800.43017578125,7292589
2026-02-17 15:18:00+00:00,6810.1298828125,6810.1298828125,6810.1298828125,6799.6298828125,6800.4599609375,8654364
2026-02-17 15:19:00+00:00,6814.02001953125,6814.02001953125,6814.83984375,6809.5498046875,6810.47021484375,8423684
2026-02-17 15:20:00+00:00,6808.58984375,6808.58984375,6814.419921875,6808.2998046875,6814.08984375,8454271
2026-02-17 15:21:00+00:00,6804.31982421875,6804.31982421875,6808.490234375,6803.169921875,6808.22998046875,8166541
2026-02-17 15:22:00+00:00,6799.22021484375,6799.22021484375,6806.990234375,6799.22021484375,6804.2099609375,8115244
2026-02-17 15:23:00+00:00,6796.6201171875,6796.6201171875,6801.22021484375,6796.0498046875,6799.6298828125,7621469
2026-02-17 15:24:00+00:00,6796.169921875,6796.169921875,6799.0,6795.27978515625,6796.58984375,6978448
2026-02-17 15:25:00+00:00,6790.81005859375,6790.81005859375,6798.93994140625,6789.52978515625,6796.27978515625,7472185
2026-02-17 15:26:00+00:00,6791.89990234375,6791.89990234375,6791.89990234375,6788.5498046875,6790.66015625,6398463
